state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
1795500	-447.6752636234054	-25.416211783000666	-422.2590518404047	302.0	0.20537157148535132	0.2053715714853529	0.23769050366813646	3.92080099040159	0.0	81.0	78.0	3.0	81.0
1800000	-441.8925180650548	-21.880187151989066	-420.01233091306574	14.0	0.2092234146771214	0.20922341467712255	0.04351845773943486	0.4934904882542338	0.0	79.0	77.0	3.0	81.0
1804500	-411.53548697589537	-22.781857444920014	-388.75362953097533	361.0	0.20048258910080066	0.20048258910080105	0.44556339942776907	1.2734770264612343	0.0	70.0	65.0	3.0	68.0
1809000	-433.62067761058205	-28.538576658275854	-405.0821009523062	162.0	0.2509157342356991	0.2509157342356989	0.28748830179685986	1.2542757665858084	0.0	75.0	70.0	5.0	75.0
1813500	-420.0094615045018	-33.23839741417291	-386.77106409032893	310.0	0.26341460869860656	0.2634146086986065	0.30545297421718076	3.873494200883727	0.0	73.0	72.0	1.0	73.0
1818000	-429.41362884537455	-27.458565420528366	-401.9550634248462	353.0	0.24507462820294765	0.24507462820294723	0.22023414716264425	0.9957785515370274	0.0	72.0	67.0	5.0	74.0
1822500	-471.61833305293794	-32.84487262039616	-438.77346043254175	151.0	0.2565679684221741	0.25656796842217466	0.7532611479628442	4.306687472568261	0.0	83.0	77.0	6.0	83.0
1827000	-463.8833891471484	-28.642081321181283	-435.2413078259671	470.0	0.25790440669839143	0.2579044066983896	0.06809407358214586	0.6286792835370205	0.0	82.0	74.0	8.0	82.0
1831500	-425.181912012435	-32.958872763253225	-392.2230392491818	281.0	0.2952958959932859	0.29529589599328565	0.20468118407755148	0.6851813061015608	0.0	74.0	72.0	2.0	74.0
1836000	-449.82717905211825	-30.523167679192433	-419.3040113729258	447.0	0.26460531244223123	0.2646053124422306	0.2861694176672511	1.3821923950213062	0.0	79.0	76.0	4.0	79.0
