cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
B_DTA_MCC_178,2,2020.2607706194,2020-04-05,2020.27322404372,2020.30327868852,B-DTA-20200818.combined.MCC.tree,0.5,2020.27276823758,2020.24239023376,2020.27276823758,2020.21249181655
B_DTA_MCC_179,2,2020.23927764323,2020-03-29,2020.25136612022,2020.27049180328,B-DTA-20200818.combined.MCC.tree,0.5,2020.2512595765,2020.21065417799,2020.2512595765,2020.19035846708
B_DTA_MCC_184,4,2020.27987035114,2020-04-12,2020.29234972678,2020.34426229508,B-DTA-20200818.combined.MCC.tree,0.5,2020.29215885112,2020.25404400886,2020.29225721744,2020.22748401866
B_DTA_MCC_185,2,2020.28674618502,2020-04-15,2020.29781420765,2020.3306010929,B-DTA-20200818.combined.MCC.tree,0.5,2020.29780607365,2020.25796728879,2020.29780607365,2020.24535037775
B_DTA_MCC_186,2,2020.19624798261,2020-03-13,2020.21584699454,2020.30601092896,B-DTA-20200818.combined.MCC.tree,0.5,2020.21045962939,2020.1713509149,2020.21465387628,2020.16011811248
B_DTA_MCC_189,10,2020.21750154302,2020-03-21,2020.24043715847,2020.35519125683,B-DTA-20200818.combined.MCC.tree,0.5,2020.21750154302,2020.21750154302,2020.21750154302,2020.21750154302
B_DTA_MCC_19,10,2020.13104025024,2020-02-18,2020.15846994536,2020.17486338798,B-DTA-20200818.combined.MCC.tree,0.5,2020.14659708645,2020.10461145447,2020.15253739746,2020.08415992809
B_DTA_MCC_192,2,2020.23211449471,2020-03-26,2020.23770491803,2020.25409836066,B-DTA-20200818.combined.MCC.tree,0.5,2020.2376947855,2020.21143379212,2020.2376947855,2020.18389025678
B_DTA_MCC_199,2,2020.20927353643,2020-03-18,2020.21584699454,2020.22131147541,B-DTA-20200818.combined.MCC.tree,0.5,2020.2158111172,2020.19631901886,2020.21581789426,2020.18131328605
B_DTA_MCC_20,38,2020.13822703616,2020-02-21,2020.15573770492,2020.3606557377,B-DTA-20200818.combined.MCC.tree,0.5,2020.13822703616,2020.13822703616,2020.13822703616,2020.13822703616
B_DTA_MCC_200,2,2020.21183137872,2020-03-19,2020.21857923497,2020.23224043716,B-DTA-20200818.combined.MCC.tree,0.5,2020.21857417403,2020.19718990488,2020.21857417403,2020.18182253958
B_DTA_MCC_202,2,2020.21460518568,2020-03-20,2020.21584699454,2020.24043715847,B-DTA-20200818.combined.MCC.tree,0.5,2020.21460518568,2020.21415972598,2020.21460518568,2020.21415972598
B_DTA_MCC_204,2,2020.21258254629,2020-03-19,2020.21857923497,2020.27322404372,B-DTA-20200818.combined.MCC.tree,0.5,2020.21857500763,2020.20086703208,2020.21857500763,2020.18673338449
B_DTA_MCC_208,2,2020.18747305999,2020-03-10,2020.18852459016,2020.19945355191,B-DTA-20200818.combined.MCC.tree,0.5,2020.18747305999,2020.18747305999,2020.18747305999,2020.18747305999
B_DTA_MCC_209,3,2020.22944704233,2020-03-25,2020.23770491803,2020.29508196721,B-DTA-20200818.combined.MCC.tree,0.5,2020.23664220434,2020.21717826179,2020.23727242898,2020.21717826179
B_DTA_MCC_21,8,2020.14958800218,2020-02-25,2020.16393442623,2020.18306010929,B-DTA-20200818.combined.MCC.tree,0.5,2020.16298231558,2020.12432730653,2020.1636109191,2020.08437479793
B_DTA_MCC_210,2,2020.22961932982,2020-03-25,2020.23770491803,2020.24043715847,B-DTA-20200818.combined.MCC.tree,0.5,2020.22961932982,2020.18892265681,2020.22961932982,2020.18892265681
B_DTA_MCC_211,3,2020.21016683422,2020-03-18,2020.22950819672,2020.24316939891,B-DTA-20200818.combined.MCC.tree,0.5,2020.21016683422,2020.21016683422,2020.21016683422,2020.21016683422
B_DTA_MCC_213,2,2020.23444002422,2020-03-27,2020.24590163934,2020.24863387978,B-DTA-20200818.combined.MCC.tree,0.5,2020.24571207466,2020.20793559876,2020.24571207466,2020.18569795275
B_DTA_MCC_215,3,2020.23286222517,2020-03-26,2020.24316939891,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.23286222517,2020.23286222517,2020.23286222517,2020.23286222517
B_DTA_MCC_220,2,2020.25336934504,2020-04-03,2020.25956284153,2020.27049180328,B-DTA-20200818.combined.MCC.tree,0.5,2020.25954505701,2020.22602103453,2020.25954505701,2020.16733892114
B_DTA_MCC_221,3,2020.20219728645,2020-03-15,2020.22950819672,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.20219728645,2020.20219728645,2020.20219728645,2020.20219728645
B_DTA_MCC_225,2,2020.17984251384,2020-03-07,2020.19945355191,2020.24863387978,B-DTA-20200818.combined.MCC.tree,0.5,2020.1978692089,2020.15628255282,2020.19849397488,2020.0990636467
B_DTA_MCC_226,2,2020.24581417882,2020-03-31,2020.25136612022,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.25135815292,2020.22823462643,2020.25135815292,2020.19770591196
B_DTA_MCC_236,2,2020.23485878687,2020-03-27,2020.24316939891,2020.27049180328,B-DTA-20200818.combined.MCC.tree,0.5,2020.23485878687,2020.23485878687,2020.23485878687,2020.23485878687
B_DTA_MCC_238,4,2020.23949013167,2020-03-29,2020.25136612022,2020.2650273224,B-DTA-20200818.combined.MCC.tree,0.5,2020.25131591953,2020.21751922941,2020.25131591953,2020.19450765123
B_DTA_MCC_24,145,2020.098833823,2020-02-06,2020.15573770492,2020.32513661202,B-DTA-20200818.combined.MCC.tree,0.5,2020.1282695153,2020.07251162333,2020.1282695153,2020.06585623745
B_DTA_MCC_241,13,2020.25431192676,2020-04-03,2020.26775956284,2020.43715846995,B-DTA-20200818.combined.MCC.tree,0.5,2020.26769840188,2020.22889355664,2020.26769840188,2020.20611952997
B_DTA_MCC_242,7,2020.20032653183,2020-03-14,2020.23770491803,2020.27868852459,B-DTA-20200818.combined.MCC.tree,0.5,2020.21659304138,2020.17158823382,2020.2259366346,2020.14301660555
B_DTA_MCC_243,3,2020.20088946126,2020-03-15,2020.25409836066,2020.2868852459,B-DTA-20200818.combined.MCC.tree,0.5,2020.22394909983,2020.17791948986,2020.23125811201,2020.14426426414
B_DTA_MCC_244,204,2020.12182033448,2020-02-15,2020.19672131148,2020.39890710383,B-DTA-20200818.combined.MCC.tree,0.5,2020.16010448177,2020.08479340507,2020.16430938288,2020.03066422915
B_DTA_MCC_245,3,2020.20691635462,2020-03-17,2020.2349726776,2020.34153005464,B-DTA-20200818.combined.MCC.tree,0.5,2020.22292265983,2020.19442338272,2020.22292265983,2020.19442338272
B_DTA_MCC_247,15,2020.16926955867,2020-03-03,2020.1912568306,2020.30601092896,B-DTA-20200818.combined.MCC.tree,0.5,2020.18391998565,2020.15182472659,2020.1881005401,2020.11618205298
B_DTA_MCC_248,3,2020.23762611434,2020-03-28,2020.25409836066,2020.27049180328,B-DTA-20200818.combined.MCC.tree,0.5,2020.23762611434,2020.23762611434,2020.23762611434,2020.23762611434
B_DTA_MCC_253,2,2020.22660333982,2020-03-24,2020.27322404372,2020.2868852459,B-DTA-20200818.combined.MCC.tree,0.5,2020.23581626318,2020.22660333982,2020.23581626318,2020.22660333982
B_DTA_MCC_259,42,2020.15462215991,2020-02-27,2020.20765027322,2020.29781420765,B-DTA-20200818.combined.MCC.tree,0.5,2020.17155473324,2020.1070817429,2020.18369047481,2020.04955484421
B_DTA_MCC_26,10,2020.16013516379,2020-02-29,2020.16666666667,2020.30327868852,B-DTA-20200818.combined.MCC.tree,0.5,2020.16663862157,2020.14721382572,2020.16663862157,2020.09221677139
B_DTA_MCC_260,2,2020.21234943862,2020-03-19,2020.24590163934,2020.25409836066,B-DTA-20200818.combined.MCC.tree,0.5,2020.23755654421,2020.18661195802,2020.24307664903,2020.16857757896
B_DTA_MCC_261,2,2020.3037695892,2020-04-21,2020.31147540984,2020.32240437158,B-DTA-20200818.combined.MCC.tree,0.5,2020.31146206272,2020.2703038431,2020.31146206272,2020.24179948701
B_DTA_MCC_269,2,2020.23607594619,2020-03-27,2020.26775956284,2020.36885245902,B-DTA-20200818.combined.MCC.tree,0.5,2020.260997416,2020.19332647569,2020.26632781324,2020.18674299636
B_DTA_MCC_27,17,2020.13146171293,2020-02-18,2020.16666666667,2020.24043715847,B-DTA-20200818.combined.MCC.tree,0.5,2020.13146171293,2020.13146171293,2020.13146171293,2020.13146171293
B_DTA_MCC_275,2,2020.21935732572,2020-03-21,2020.22950819672,2020.24316939891,B-DTA-20200818.combined.MCC.tree,0.5,2020.22940209203,2020.18602043513,2020.22949482159,2020.15332931389
B_DTA_MCC_279,3,2020.31559079291,2020-04-26,2020.32513661202,2020.32786885246,B-DTA-20200818.combined.MCC.tree,0.5,2020.32500835021,2020.29779240615,2020.32505054114,2020.27382908344
B_DTA_MCC_28,3,2020.15388012204,2020-02-26,2020.16666666667,2020.17486338798,B-DTA-20200818.combined.MCC.tree,0.5,2020.15388012204,2020.15388012204,2020.15388012204,2020.15388012204
B_DTA_MCC_282,2,2020.26527469593,2020-04-07,2020.27049180328,2020.30327868852,B-DTA-20200818.combined.MCC.tree,0.5,2020.27047343583,2020.24984256216,2020.27048383001,2020.22299791157
B_DTA_MCC_283,3,2020.18118691086,2020-03-07,2020.21038251366,2020.22677595628,B-DTA-20200818.combined.MCC.tree,0.5,2020.18994456525,2020.16854184423,2020.19089215357,2020.15713401012
B_DTA_MCC_284,3,2020.22158104204,2020-03-22,2020.2868852459,2020.31147540984,B-DTA-20200818.combined.MCC.tree,0.5,2020.26049238053,2020.18783852938,2020.2612842073,2020.15456169924
B_DTA_MCC_289,3,2020.20437610376,2020-03-16,2020.23224043716,2020.29781420765,B-DTA-20200818.combined.MCC.tree,0.5,2020.22456277745,2020.18124218676,2020.22876435846,2020.14386001914
B_DTA_MCC_29,206,2020.11165429093,2020-02-11,2020.15846994536,2020.37704918033,B-DTA-20200818.combined.MCC.tree,0.5,2020.14040441408,2020.08310867886,2020.14412361252,2020.05490877601
B_DTA_MCC_30,4,2020.16286949669,2020-03-01,2020.1693989071,2020.17486338798,B-DTA-20200818.combined.MCC.tree,0.5,2020.16939224125,2020.14814512698,2020.16939224125,2020.12383838823
B_DTA_MCC_300,2,2020.21173805394,2020-03-18,2020.21857923497,2020.22677595628,B-DTA-20200818.combined.MCC.tree,0.5,2020.21854965825,2020.19301925782,2020.21855427597,2020.1776902915
