sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/NORT-291E62/2020,UK,UK-ENG,B.1.5,2020-05-05,2020.34153005464,England/NORT-291E62/2020,B.1.pruned_DTA_MCC_227
England/NORT-2949B9/2020,UK,UK-ENG,B.1.5,2020-03-27,2020.2349726776,England/NORT-2949B9/2020,B.1.pruned_DTA_MCC_526
England/NORT-294B95/2020,UK,UK-ENG,B.1,2020-03-28,2020.23770491803,England/NORT-294B95/2020,B.1.pruned_DTA_MCC_200
England/NORT-294BA4/2020,UK,UK-ENG,B.1.5,2020-03-28,2020.23770491803,England/NORT-294BA4/2020,B.1.pruned_DTA_MCC_546
England/NORT-294C29/2020,UK,UK-ENG,B.1.5,2020-03-28,2020.23770491803,England/NORT-294C29/2020,B.1.pruned_DTA_MCC_522
England/NORT-294C83/2020,UK,UK-ENG,B.1.5,2020-03-28,2020.23770491803,England/NORT-294C83/2020,B.1.pruned_DTA_MCC_547
England/NORT-294D17/2020,UK,UK-ENG,B.1,2020-03-29,2020.24043715847,England/NORT-294D17/2020,B.1.pruned_DTA_MCC_548
England/NORT-294DAE/2020,UK,UK-ENG,B.1.5,2020-03-28,2020.23770491803,England/NORT-294DAE/2020,B.1.pruned_DTA_MCC_526
England/NORT-294DDB/2020,UK,UK-ENG,B.1.5,2020-03-29,2020.24043715847,England/NORT-294DDB/2020,B.1.pruned_DTA_MCC_518
England/NORT-294E23/2020,UK,UK-ENG,B.1.5,2020-03-29,2020.24043715847,England/NORT-294E23/2020,B.1.pruned_DTA_MCC_549
England/NORT-294E32/2020,UK,UK-ENG,B.1.5,2020-03-29,2020.24043715847,England/NORT-294E32/2020,B.1.pruned_DTA_MCC_308
England/NORT-294E41/2020,UK,UK-ENG,B.1.p11,2020-03-29,2020.24043715847,England/NORT-294E41/2020,B.1.pruned_DTA_MCC_17
England/NORT-294F4E/2020,UK,UK-ENG,B.1.5,2020-03-29,2020.24043715847,England/NORT-294F4E/2020,B.1.pruned_DTA_MCC_227
England/NORT-29504A/2020,UK,UK-ENG,B.1,2020-03-29,2020.24043715847,England/NORT-29504A/2020,B.1.pruned_DTA_MCC_1
England/NORT-295068/2020,UK,UK-ENG,B.1,2020-03-29,2020.24043715847,England/NORT-295068/2020,B.1.pruned_DTA_MCC_200
England/NORT-295147/2020,UK,UK-ENG,B.1,2020-03-30,2020.24316939891,England/NORT-295147/2020,B.1.pruned_DTA_MCC_200
England/NORT-295271/2020,UK,UK-ENG,B.1.5,2020-03-30,2020.24316939891,England/NORT-295271/2020,B.1.pruned_DTA_MCC_526
England/NORT-29545D/2020,UK,UK-ENG,B.1.p11,2020-04-01,2020.24863387978,England/NORT-29545D/2020,B.1.pruned_DTA_MCC_62
England/NORT-2954B7/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-2954B7/2020,B.1.pruned_DTA_MCC_1
England/NORT-2954C6/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-2954C6/2020,B.1.pruned_DTA_MCC_1
England/NORT-29552D/2020,UK,UK-ENG,B.1.5,2020-03-31,2020.24590163934,England/NORT-29552D/2020,B.1.pruned_DTA_MCC_518
England/NORT-295578/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-295578/2020,B.1.pruned_DTA_MCC_1
England/NORT-2955C3/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-2955C3/2020,B.1.pruned_DTA_MCC_1
England/NORT-2955D2/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-2955D2/2020,B.1.pruned_DTA_MCC_1
England/NORT-295639/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-295639/2020,B.1.pruned_DTA_MCC_550
England/NORT-295648/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-295648/2020,B.1.pruned_DTA_MCC_281
England/NORT-295745/2020,UK,UK-ENG,B.1.5,2020-04-01,2020.24863387978,England/NORT-295745/2020,B.1.pruned_DTA_MCC_518
England/NORT-2957BE/2020,UK,UK-ENG,B.1,2020-03-30,2020.24316939891,England/NORT-2957BE/2020,B.1.pruned_DTA_MCC_1
England/NORT-295851/2020,UK,UK-ENG,B.1.5,2020-04-01,2020.24863387978,England/NORT-295851/2020,B.1.pruned_DTA_MCC_522
England/NORT-2958F7/2020,UK,UK-ENG,B.1,2020-04-02,2020.25136612022,England/NORT-2958F7/2020,B.1.pruned_DTA_MCC_1
England/NORT-295930/2020,UK,UK-ENG,B.1.5,2020-04-02,2020.25136612022,England/NORT-295930/2020,B.1.pruned_DTA_MCC_551
England/NORT-29597C/2020,UK,UK-ENG,B.1.5,2020-04-01,2020.24863387978,England/NORT-29597C/2020,B.1.pruned_DTA_MCC_421
England/NORT-2959B8/2020,UK,UK-ENG,B.1,2020-04-02,2020.25136612022,England/NORT-2959B8/2020,B.1.pruned_DTA_MCC_200
England/NORT-295A5B/2020,UK,UK-ENG,B.1.5,2020-04-03,2020.25409836066,England/NORT-295A5B/2020,B.1.pruned_DTA_MCC_522
England/NORT-295B76/2020,UK,UK-ENG,B.1.5,2020-04-03,2020.25409836066,England/NORT-295B76/2020,B.1.pruned_DTA_MCC_286
England/NORT-295B85/2020,UK,UK-ENG,B.1.5,2020-04-03,2020.25409836066,England/NORT-295B85/2020,B.1.pruned_DTA_MCC_522
England/NORT-295B94/2020,UK,UK-ENG,B.1,2020-04-03,2020.25409836066,England/NORT-295B94/2020,B.1.pruned_DTA_MCC_404
England/NORT-295BB2/2020,UK,UK-ENG,B.1,2020-04-03,2020.25409836066,England/NORT-295BB2/2020,B.1.pruned_DTA_MCC_552
England/NORT-295C0A/2020,UK,UK-ENG,B.1,2020-04-03,2020.25409836066,England/NORT-295C0A/2020,B.1.pruned_DTA_MCC_200
