Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.X_DTA_MCC_352,19,17,9,02/04/2020,20/05/2020,48,97.16442792,42.90994675,39.62959858
B.1.1_DTA_MCC_53,18,16,4,05/03/2020,09/05/2020,65,345.3182647,50.12249742,0
B.1.1_DTA_MCC_231,18,17,3,25/03/2020,21/05/2020,57,138.2753314,25.53909613,0
B.1.1_DTA_MCC_335,18,16,15,26/03/2020,27/04/2020,32,628.9599203,282.5471501,259.8920105
B.1.1_DTA_MCC_583,18,17,6,28/03/2020,15/05/2020,48,319.6742099,115.0144722,19.33013618
B.1.1_DTA_MCC_712,18,17,4,21/04/2020,15/06/2020,55,564.8077011,173.1848701,286.0296911
B.1.pruned_DTA_MCC_149,18,12,8,18/03/2020,27/04/2020,40,602.04152,191.1371413,124.9475188
B.1.pruned_DTA_MCC_259,18,15,11,31/03/2020,06/05/2020,36,547.6356828,198.2951145,192.9918625
B.1.pruned_DTA_MCC_306,18,16,7,25/03/2020,18/04/2020,24,590.8580379,262.0332812,294.8132811
B.1.pruned_DTA_MCC_687,18,16,3,06/03/2020,30/03/2020,24,541.8064559,108.5290623,0
B.1.pruned_DTA_MCC_839,18,15,6,29/03/2020,26/04/2020,28,119.3288483,42.40735453,42.88402766
B_DTA_MCC_27,17,16,10,02/03/2020,29/03/2020,27,575.8126675,242.4185879,267.1472224
B.1.1_DTA_MCC_115,17,16,6,11/03/2020,05/05/2020,55,242.5875198,49.58618693,48.67921806
B.1.1_DTA_MCC_147,17,17,8,18/03/2020,06/05/2020,49,629.1320099,153.8256037,52.50413448
B.1.1_DTA_MCC_228,17,14,9,23/03/2020,18/04/2020,26,556.6651849,269.7487971,268.2831999
B.1.1_DTA_MCC_438,17,12,9,27/03/2020,01/05/2020,35,551.0910264,212.9399802,208.7556115
B.1.1_DTA_MCC_484,17,15,4,22/03/2020,22/04/2020,31,80.24274299,22.32627135,25.27011789
B.1.pruned_DTA_MCC_650,17,17,6,21/03/2020,22/04/2020,32,601.4036051,234.7814057,350.8511708
B.1.X_DTA_MCC_83,17,16,5,25/03/2020,30/04/2020,36,577.836908,229.4826887,93.02988141
B.1.X_DTA_MCC_232,17,15,3,01/05/2020,07/06/2020,37,211.3922946,47.90456077,46.78261621
B_DTA_MCC_17,16,8,4,29/02/2020,08/04/2020,39,558.8001137,177.7606891,60.46586511
B_DTA_MCC_46,16,14,9,06/03/2020,06/04/2020,31,547.6356828,292.7174754,265.9723625
B_DTA_MCC_61,16,15,5,09/03/2020,17/04/2020,39,498.3968624,146.2018186,234.0811663
B.1.1_DTA_MCC_411,16,16,6,21/03/2020,18/05/2020,58,255.3962599,104.0336167,115.0847613
B.1.1_DTA_MCC_655,16,14,2,07/04/2020,17/06/2020,71,163.4537028,23.35052898,0
B.1.1_DTA_MCC_788,16,14,7,27/03/2020,13/04/2020,17,566.2843884,234.3043516,251.7541885
B.1.1_DTA_MCC_798,16,16,1,25/04/2020,08/05/2020,13,0,0,0
B.1.1_DTA_MCC_900,16,16,1,22/04/2020,29/05/2020,37,0,0,0
B.1.pruned_DTA_MCC_338,16,10,3,24/03/2020,14/05/2020,51,452.3752339,98.17307739,20.73490379
B.1.pruned_DTA_MCC_673,16,16,10,18/03/2020,15/04/2020,28,581.6725955,210.9920277,167.4983646
B.1.pruned_DTA_MCC_857,16,11,4,25/03/2020,12/04/2020,18,26.39448637,13.91580895,16.49556777
A_DTA_MCC_53,15,15,6,23/03/2020,26/04/2020,34,102.3740798,41.53035308,42.39032036
B_DTA_MCC_247,15,14,7,11/03/2020,22/04/2020,42,332.7826125,129.1253259,87.6632144
B.1.1_DTA_MCC_186,15,13,4,22/03/2020,24/04/2020,33,97.48190426,34.10427817,35.7078237
B.1.1_DTA_MCC_341,15,15,7,01/04/2020,30/05/2020,59,395.5589001,205.0885258,184.3373802
B.1.pruned_DTA_MCC_174,15,6,4,27/03/2020,15/04/2020,19,208.2197235,77.43809724,103.6118522
B.1.pruned_DTA_MCC_241,15,14,5,29/03/2020,06/05/2020,38,264.0278956,101.1352193,115.0847613
B.1.pruned_DTA_MCC_313,15,15,2,23/03/2020,01/05/2020,39,60.47415977,8.063221303,0
B.1.X_DTA_MCC_35,15,15,6,26/03/2020,24/04/2020,29,556.6651849,156.4380646,56.97509324
B.1.1_DTA_MCC_109,14,12,5,13/03/2020,25/04/2020,43,121.6245396,38.71440794,36.73911064
B.1.1_DTA_MCC_348,14,10,9,02/04/2020,03/06/2020,62,538.9117709,214.3796575,197.4091115
B.1.1_DTA_MCC_372,14,12,6,31/03/2020,15/04/2020,15,329.9661623,146.3218136,145.0574066
B.1.1_DTA_MCC_404,14,12,2,26/03/2020,02/05/2020,37,78.24284353,13.04047392,0
B.1.1_DTA_MCC_423,14,12,11,04/04/2020,28/05/2020,54,480.7001398,243.9047147,232.9988419
B.1.1_DTA_MCC_453,14,13,9,21/03/2020,14/05/2020,54,565.740148,257.0085799,188.3454143
