Lineage,Number_of_sequences,Number_of_sequences_with_adm2,Number_adm2s,Earliest_sequence,Latest_sequence*,Days_between_earliest_and_latest_sequences*,Max_distance_between_sequences_km,Average_distance_between_sequences_km,Median_distance_between_sequences_km
B.1.pruned_DTA_MCC_187,1,0,0,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_188,1,0,0,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_189,1,0,0,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_194,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_196,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_199,1,0,0,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_201,1,0,0,27/03/2020,27/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_202,1,0,0,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_204,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_209,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_211,1,0,0,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_212,1,0,0,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_214,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_218,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_221,1,1,1,16/04/2020,16/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_222,1,1,1,16/04/2020,16/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_223,1,1,1,18/04/2020,18/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_229,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_230,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_231,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_233,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_238,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_246,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_247,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_249,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_251,1,1,1,04/04/2020,04/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_253,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_254,1,0,0,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_257,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_271,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_272,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_273,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_275,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_276,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_278,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_279,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_283,1,1,1,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_284,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_287,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_291,1,1,1,15/04/2020,15/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_297,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_298,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_312,1,1,1,20/04/2020,20/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_317,1,1,1,22/04/2020,22/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_320,1,1,1,28/04/2020,28/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_321,1,1,1,28/04/2020,28/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_324,1,1,1,06/05/2020,06/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_325,1,1,1,21/06/2020,21/06/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_326,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_329,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_330,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_331,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_332,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_334,1,1,1,22/03/2020,22/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_337,1,0,0,22/03/2020,22/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_341,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_347,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_348,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_351,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_352,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_353,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_355,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_357,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_358,1,1,1,17/03/2020,17/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_359,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_361,1,1,1,16/03/2020,16/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_362,1,1,1,16/03/2020,16/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_363,1,1,1,17/03/2020,17/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_364,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_365,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_366,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_367,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_369,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_370,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_374,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_377,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_378,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_384,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_385,1,1,1,04/04/2020,04/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_387,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_388,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_390,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_391,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_395,1,1,1,27/03/2020,27/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_398,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_401,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_402,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_403,1,1,1,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_407,1,1,1,14/04/2020,14/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_408,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_412,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_417,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_420,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_422,1,1,1,09/04/2020,09/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_423,1,1,1,09/04/2020,09/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_424,1,1,1,16/04/2020,16/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_425,1,1,1,09/04/2020,09/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_426,1,1,1,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_427,1,0,0,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_428,1,0,0,11/04/2020,11/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_429,1,1,1,12/04/2020,12/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_431,1,1,1,14/04/2020,14/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_432,1,1,1,12/04/2020,12/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_434,1,1,1,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_436,1,1,1,15/04/2020,15/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_438,1,1,1,15/04/2020,15/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_439,1,1,1,23/04/2020,23/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_440,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_441,1,1,1,09/03/2020,09/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_442,1,1,1,10/03/2020,10/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_443,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_444,1,1,1,12/03/2020,12/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_445,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_446,1,1,1,15/04/2020,15/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_447,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_448,1,1,1,29/04/2020,29/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_450,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_451,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_452,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_456,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_457,1,1,1,09/04/2020,09/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_462,1,1,1,17/04/2020,17/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_464,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_465,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_466,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_469,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_470,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_472,1,1,1,25/04/2020,25/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_474,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_475,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_480,1,1,1,26/05/2020,26/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_481,1,0,0,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_485,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_489,1,0,0,04/04/2020,04/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_491,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_492,1,0,0,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_493,1,0,0,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_495,1,1,1,15/04/2020,15/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_499,1,0,0,17/04/2020,17/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_500,1,0,0,17/04/2020,17/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_501,1,0,0,18/04/2020,18/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_502,1,0,0,18/04/2020,18/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_503,1,0,0,19/04/2020,19/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_504,1,0,0,20/04/2020,20/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_505,1,0,0,20/04/2020,20/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_507,1,0,0,23/04/2020,23/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_508,1,0,0,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_509,1,0,0,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_511,1,0,0,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_512,1,0,0,11/04/2020,11/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_513,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_514,1,1,1,14/03/2020,14/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_517,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_521,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_525,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_528,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_529,1,0,0,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_531,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_534,1,0,0,21/03/2020,21/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_535,1,1,1,21/03/2020,21/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_536,1,1,1,22/03/2020,22/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_537,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_538,1,1,1,22/03/2020,22/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_539,1,0,0,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_540,1,0,0,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_541,1,0,0,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_546,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_548,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_549,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_550,1,1,1,31/03/2020,31/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_552,1,1,1,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_553,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_554,1,1,1,21/04/2020,21/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_556,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_558,1,1,1,11/04/2020,11/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_560,1,1,1,24/04/2020,24/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_561,1,1,1,27/04/2020,27/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_563,1,1,1,02/05/2020,02/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_564,1,1,1,30/04/2020,30/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_567,1,1,1,09/06/2020,09/06/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_569,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_570,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_571,1,1,1,22/03/2020,22/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_572,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_573,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_574,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_575,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_576,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_578,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_580,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_581,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_585,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_588,1,1,1,23/04/2020,23/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_589,1,1,1,29/04/2020,29/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_590,1,0,0,04/04/2020,04/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_593,1,0,0,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_594,1,0,0,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_596,1,0,0,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_597,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_598,1,1,1,08/04/2020,08/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_599,1,0,0,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_600,1,1,1,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_602,1,0,0,03/04/2020,03/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_603,1,0,0,09/04/2020,09/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_604,1,1,1,16/04/2020,16/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_605,1,0,0,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_607,1,0,0,04/05/2020,04/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_608,1,0,0,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_609,1,0,0,19/04/2020,19/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_610,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_611,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_612,1,1,1,14/04/2020,14/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_613,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_614,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_615,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_616,1,1,1,13/03/2020,13/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_617,1,1,1,11/03/2020,11/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_618,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_619,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_620,1,1,1,18/04/2020,18/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_622,1,1,1,19/04/2020,19/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_624,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_626,1,1,1,03/03/2020,03/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_627,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_628,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_629,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_630,1,1,1,02/03/2020,02/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_631,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_635,1,1,1,28/04/2020,28/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_636,1,1,1,04/05/2020,04/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_637,1,1,1,03/05/2020,03/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_641,1,0,0,05/05/2020,05/05/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_642,1,1,1,08/03/2020,08/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_643,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_644,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_645,1,1,1,16/03/2020,16/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_646,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_647,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_651,1,1,1,28/03/2020,28/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_653,1,1,1,28/04/2020,28/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_654,1,1,1,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_655,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_657,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_659,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_660,1,1,1,12/04/2020,12/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_661,1,1,1,10/04/2020,10/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_662,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_663,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_664,1,1,1,03/06/2020,03/06/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_666,1,1,1,20/03/2020,20/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_667,1,1,1,24/03/2020,24/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_668,1,1,1,11/04/2020,11/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_670,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_671,1,1,1,29/04/2020,29/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_672,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_674,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_675,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_676,1,1,1,23/03/2020,23/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_677,1,1,1,06/04/2020,06/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_678,1,1,1,26/03/2020,26/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_679,1,1,1,25/03/2020,25/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_681,1,1,1,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_682,1,1,1,01/03/2020,01/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_683,1,1,1,04/03/2020,04/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_685,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_686,1,1,1,29/03/2020,29/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_688,1,1,1,30/03/2020,30/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_692,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_693,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_695,1,1,1,01/04/2020,01/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_696,1,1,1,02/04/2020,02/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_697,1,1,1,04/04/2020,04/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_699,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_700,1,1,1,05/04/2020,05/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_704,1,1,1,07/04/2020,07/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_708,1,1,1,18/03/2020,18/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_709,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_711,1,1,1,12/04/2020,12/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_714,1,1,1,12/04/2020,12/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_716,1,1,1,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_717,1,1,1,19/03/2020,19/03/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_718,1,1,1,13/04/2020,13/04/2020,0,NA,NA,NA
B.1.pruned_DTA_MCC_719,1,1,1,15/04/2020,15/04/2020,0,NA,NA,NA
